club,name,position,cost,matches_played,goals,assists,yellow_cards,red_cards,penalty_attempted,penalty_scored,penalty_saved,avg_rating,magic_avg_rating,magic_total_points
inter,Skriniar M.,DF,20,32.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.28,6.68,12.8
torino,Bremer G.,DF,21,33.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.21,6.86,21.5
genoa,Caso G.,T,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0
verona,Cetin M.,DF,4,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.75,5.66,-0.5
cagliari,Tramoni M.,MF,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,5.75,0.0
milan,Tomori F.,DF,14,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.47,4.6
verona,Lazovic D.,MF,20,31.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,6.03,6.56,16.5
fiorentina,Eysseric V.,T,10,13.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.69,6.23,7.0
sampdoria,Rocha K.,DF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udinese,Prodl S.,DF,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roma,Kumbulla M.,DF,12,18.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.83,5.88,0.9
genoa,Goldaniga E.,DF,9,24.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,5.89,5.77,-2.9
parma,Brunetta J.,T,13,11.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,5.59,6.0,4.5
juventus,Pinsoglio C.,GK,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,-1.0
napoli,Ghoulam F.,DF,12,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.85,5.78,-0.5
bologna,Rabbi S.,FW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sassuolo,Boga J.,T,23,26.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.88,6.38,13.0
udinese,Llorente F.,FW,12,15.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.63,5.76,1.9
milan,Calabria D.,DF,15,31.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,6.3,6.45,4.7
lazio,Moro R.,FW,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
udinese,Scuffet S.,GK,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,-2.0
spezia,Rafael A.,GK,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.83,5.5,-4.0
torino,Linetty K.,MF,10,25.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.46,5.52,1.5
genoa,Radovanovic I.,MF,7,30.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.73,5.65,-2.4
sassuolo,Traore H.,T,18,32.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,6.1,6.7,19.2
benevento,Manfredini N.,GK,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,-1.0
fiorentina,Caceres M.,DF,12,26.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,5.67,5.98,8.1
lazio,Alia M.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crotone,Riviere E.,FW,11,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.53,5.76,3.0
bologna,Da Costa A.,GK,3,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.58,3.91,-10.0
torino,Milinkovic V.,GK,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,4.41,-7.0
cagliari,Asamoah K.,DF,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,5.57,0.0
fiorentina,Montiel T.,T,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lazio,Radu S.,DF,11,31.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.8,5.87,2.2
lazio,Luiz Felipe R.,DF,9,14.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.78,5.6,-2.5
crotone,Vulic M.,MF,10,23.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.82,5.95,3.0
